,author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns,sum of squares
15,"Townsend, F. H",0.22263664769038943,0.38445833076608443,0.08885585031729795,0.15737914876324668,0.24444994961584676,0.3790512055260433,0.12654094008286768,0.4494870473863054
16,"Buckley, Theodore Alois",0.16134317350135113,0.03934495411834901,0.26840998633488966,0.05590929092834564,0.0,0.16542660149207375,0.24878000882360213,0.19200686789795707
17,"Pope, Alexander",0.04941011144620711,0.6097698601738255,0.15235258747972324,0.21670517023867122,0.3907065347492976,0.16898415996383473,0.1099247861152983,0.6377237844264525
18,Homer,0.3935927265975347,0.5845954824385984,0.15246070639367404,0.2810019587220815,0.3087744045934158,0.13885463395627273,0.09864451255306064,0.7232264624777837
19,"Burnett, Frances Hodgson",0.6958057610968398,0.39851304999012277,0.18550409120635636,0.2799743267330619,0.12860413591296244,0.448660467392302,0.1212040632160757,0.9882813633865951
20,"Burroughs, Edgar Rice",0.23022564484163416,0.5723743940979538,0.0923681385754414,0.3730338575218836,0.07772738555882894,0.3666659755784331,0.031490381287098405,0.6697795546695968
21,"Burton, Richard Francis, Sir",0.450436901099422,0.7304260077807082,0.13904510671118256,0.16718003707781012,0.040472319585296526,0.23065494884921972,0.017710130720466354,0.8388516240235624
22,"Byron, George Gordon Byron, Baron",0.16409156009315704,0.5104194368592697,0.06184088846875456,0.22168673647722095,0.02717107889840851,0.197211363502599,0.09090052437090088,0.38831684098802843
23,"Carroll, Lewis",0.7353073576607427,0.5133577167691613,0.1571249690344906,0.16923443631587473,0.0872817114250112,0.5186366071271632,0.10682705277399236,1.145555652531743
24,"Doré, Gustave",0.483118927480319,0.8503975755210536,0.3603752638635081,0.47065860809870896,0.10178605622591455,0.16758302069631728,0.09338300966957719,1.3551346472866024
25,Dante Alighieri,0.32324118200130425,0.6920827401783751,0.09934884057008841,0.26733849683084576,0.06600554368512852,0.2896186179153133,0.05509193145223411,0.7560742415562889
26,"Cary, Henry Francis",0.19887993152358077,0.7529909456692317,0.0,0.5754782372575347,0.06593607551629287,0.9157736961112394,0.08086543945844556,1.7872520408222459
27,"Cervantes Saavedra, Miguel de",0.21654665542282656,0.833352948911253,0.24208450678935386,0.5165981305842746,0.09492228444817413,0.041905912993991,0.13972718311554178,1.09713815971463
